Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Total_Spend,Channel_Purchases,Total_Purchases,Discount_Purchase_Rate,Spend_Per_Purchase,Customer_Tenure_Days,Customer_Tenure_Years,Dependents,Has_Children,Age,Age_Group,Income_Bracket,Recency_Group,Category_Breadth,Preferred_Channel,Is_High_Value,No_Purchase_Record,Customer_Segment
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,1,0,1190,14,15,0.06666666666666667,79.33333333333333,173,0.5,0,0,44,31-45,Very High Income,Recent,6,Store,1,0,General Customers
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,1,0,577,17,18,0.05555555555555555,32.05555555555556,174,0.5,0,0,53,46-60,High Income,Recent,5,Web,0,0,Digital Shoppers
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,251,10,11,0.09090909090909091,22.818181818181817,207,0.6,1,1,56,46-60,High Income,Recent,6,Store,0,0,Family Customers
1386,1967,Graduation,Together,32474.0,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,11,3,4,0.25,2.75,31,0.1,2,1,47,46-60,Low Income,Recent,2,Store,0,0,Bargain Hunters
5371,1989,Graduation,Single,21474.0,1,0,2014-08-04,0,6,16,24,11,0,34,2,3,1,2,7,1,0,91,6,8,0.25,11.375,124,0.3,1,1,25,18-30,Low Income,Recent,5,Web,0,0,Digital Shoppers
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,1,0,1192,16,17,0.058823529411764705,70.11764705882354,264,0.7,0,0,56,46-60,Very High Income,Recent,6,Catalog,1,0,High-Value Active Catalog/Web
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,1215,27,28,0.03571428571428571,43.392857142857146,311,0.9,0,0,60,46-60,High Income,Recent,6,Web,1,0,High-Value Active Catalog/Web
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,96,6,7,0.14285714285714285,13.714285714285714,322,0.9,1,1,47,46-60,Mid Income,Recent,3,Store,0,0,Family Customers
4047,1954,PhD,Married,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,544,17,20,0.15,27.2,35,0.1,1,1,60,46-60,High Income,Recent,5,Store,0,0,Family Customers
9477,1954,PhD,Married,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,544,17,20,0.15,27.2,35,0.1,1,1,60,46-60,High Income,Recent,5,Store,0,0,Family Customers
